projectName,kind,testCase,filePath,CountLineCode,Cyclomatic,CyclomaticModified,CyclomaticStrict,projectName2,filePath2,testCase2,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
greenmail,Public Method,testUIDFetchWithWildcard,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,29,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testUIDFetchWithWildcard,204,63,1219.365104393983,5.0558410364225255
greenmail,Public Method,testUIDFolder,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,27,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testUIDFolder,193,59,1135.3501085268354,4.954170090135093
greenmail,Public Method,testSort,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSortTest.java,34,1,1,2,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSortTest.java,testSort,310,75,1930.933794053723,4.998159844754354
greenmail,Public Method,testLongSubjectLine,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSubjectLineTest.java,6,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSubjectLineTest.java,testLongSubjectLine,20,17,81.7492568250068,4.021928094887362
greenmail,Public Method,testSubjectWithBackslashCharacter,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSubjectLineTest.java,5,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSubjectLineTest.java,testSubjectWithBackslashCharacter,18,15,70.32403072095333,3.836591668108979
greenmail,Public Method,testSubjectWithDoubleQuote,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSubjectLineTest.java,5,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSubjectLineTest.java,testSubjectWithDoubleQuote,18,15,70.32403072095333,3.836591668108979
greenmail,Public Method,testSubjectWithEmbeddedSpaces,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSubjectLineTest.java,6,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSubjectLineTest.java,testSubjectWithEmbeddedSpaces,20,17,81.7492568250068,4.021928094887362
greenmail,Public Method,testSubjectWithSingleQuote,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSubjectLineTest.java,5,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSubjectLineTest.java,testSubjectWithSingleQuote,18,15,70.32403072095333,3.836591668108979
greenmail,Public Method,testSubjectWithTabCharacter,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSubjectLineTest.java,5,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSubjectLineTest.java,testSubjectWithTabCharacter,18,15,70.32403072095333,3.836591668108979
greenmail,Public Method,test,greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/CommandParserTest.java,6,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/CommandParserTest.java,test,40,17,163.4985136500136,3.5782129458410004
greenmail,Public Method,testParseRangeSequence,greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/IdRangeTest.java,43,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/IdRangeTest.java,testParseRangeSequence,448,42,2415.758205404885,4.092873890571438
greenmail,Public Method,testDeleteInbox,greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,16,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,testDeleteInbox,111,45,609.595693692594,4.782205619553178
greenmail,Public Method,testFetchSpaceBeforeSize,greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,49,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,testFetchSpaceBeforeSize,513,73,3175.379998705449,4.713547073402063
greenmail,Public Method,testFetchUidsAndSize,greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,19,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,testFetchUidsAndSize,152,56,882.7179481527559,4.853962009996713
greenmail,Public Method,testGetMessageByUnknownUidInEmptyINBOX,greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,16,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,testGetMessageByUnknownUidInEmptyINBOX,76,39,401.6905686335309,4.589037893683874
greenmail,Public Method,testListAndStatusWithNonExistingFolder,greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,19,2,2,2,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,testListAndStatusWithNonExistingFolder,110,51,623.9667876168646,4.970472299766668
greenmail,Public Method,testRenameFolder,greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,19,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,testRenameFolder,146,50,824.0030037071098,4.838164066643573
