project,filePath,methodName,noBugFixes,noCommitFixes,noClones,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/validation/ProducerValidationTests.java,duplicateDetectionFailureTest,8,2,0,60,21,263.53904536672565,3.860057263100606
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/validation/ProducerValidationTests.java,duplicateDetectionFailureTest,8,2,0,11,8,33.0,2.9139770731827523
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/validation/ProducerValidationTests.java,duplicateDetectionFailureTest,8,2,0,158,57,921.5966222380292,4.848198318595003
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/validation/ProducerValidationTests.java,duplicateDetectionSuccessTest,8,2,0,99,42,533.8394248550973,4.566698233305821
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/validation/RecordCountVarianceValidatorTests.java,passTestNoMoreChangeThanExpected,1,1,0,161,50,908.6608465537306,4.760211834101528
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerTest.java,testNotPrimaryProducerVersion,5,3,0,126,41,675.0515525818786,4.573725354625266
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,testRemoveDuringCycle,6,1,0,273,56,1585.4078937217262,4.955162631912547
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,testAddDuringCycle,6,1,0,251,55,1451.1212880946896,4.969650019536122
hollow,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,testObjectReferenceWithoutAutoExpand,3,1,0,133,53,761.8134204569055,4.8634947143770475
hollow,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,testSetIntegerReference,3,1,0,215,52,1225.594539400335,4.819941857751344
hollow,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,testMultiFieldReferenceIncomplete,3,1,0,153,55,884.548036169273,4.886901020374773
hollow,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,testListIntegerReference,3,1,0,199,41,1066.1528489189986,4.557418701273646
hollow,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,testListObjectReference,3,1,0,151,43,819.3659779600168,4.757428083006878
hollow,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,testMapKeyReferenceToList,3,1,0,107,49,600.7739533203273,5.0137137282590025
hollow,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,testSimpleReferenceWithoutAutoExpand,3,1,0,120,49,673.765181293825,4.7736633302734495
hollow,hollow/src/test/java/com/netflix/hollow/core/index/HollowPrefixIndexTest.java,testSetReference,1,1,0,80,47,444.367108134211,5.114639684662472
hollow,hollow/src/test/java/com/netflix/hollow/core/index/PrimaryKeyTest.java,throwsMeaningfulExceptions,41,1,0,435,56,2526.199391095058,4.501642887709561
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/index/HashIndexUpdatesTest.java,snapshotUpdates,2,1,0,11,10,36.541209043760986,3.2776134368191165
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,addAndDeleteCollectionsInParallel,3,3,1,325,76,2030.5764418691656,5.1905559615129855
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerMultithreadingTest.java,updateAndPublishUsingMultithreading,1,1,1,201,67,1219.2839272820122,5.1328336336894855
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerMultithreadingTest.java,removeAndPublishUsingMultithreading,1,1,1,183,66,1106.1241238425969,5.186344544878
hollow,hollow/src/test/java/com/netflix/hollow/core/write/objectmapper/flatrecords/FlatRecordWriterTests.java,flatRecordsCanBeDumpedToStateEngineWithIdenticalSchemas,3,1,0,388,70,2378.1618105746475,4.871073412821501
hollow,hollow-jsonadapter/src/test/java/com/netflix/hollow/jsonadapter/chunker/JsonArrayChunkerTest.java,test,1,1,0,75,33,378.329558951884,4.551054771538719
hollow,hollow/src/test/java/com/netflix/hollow/core/index/SparseBitSetTest.java,testEvenNumbersMultipleThread,1,1,0,138,48,770.7248250995196,4.956280030034005
hollow,hollow/src/test/java/com/netflix/hollow/core/util/SimultaneousExecutorTest.java,failsWhenAnyRunnableThrowsException,11,1,0,61,23,275.9372793194778,4.008468797133685
hollow,hollow/src/test/java/com/netflix/hollow/core/util/SimultaneousExecutorTest.java,failsWhenAnyCallableThrowsException,11,1,0,54,26,253.823744779619,4.3516571778890745
hollow,hollow/src/test/java/com/netflix/hollow/core/util/SimultaneousExecutorTest.java,canBeReused,11,1,0,91,18,379.4631751312504,3.470778534681673
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,testBlobPublishAsyncExecutorFail,23,2,0,309,82,1964.4835694269882,5.314152763202998
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,testFirstCycle,23,2,0,838,118,5767.654875365223,5.177811841671067
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,testSecondCycleWithChanges,23,2,0,876,127,6122.087785612418,5.268835882109432
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,testSecondCycleNoChanges,23,2,0,641,107,4321.280338283135,5.266357543945522
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/metrics/AbstractProducerMetricsListenerTest.java,testCycleSkipWhenNeverBeenPrimaryProducer,1,1,1,94,36,485.9729501355773,4.417524661554001
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/metrics/AbstractProducerMetricsListenerTest.java,testCycleSkipWhenPreviouslyPrimaryProducer,1,1,1,105,39,554.9672329805361,4.520361569211211
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/FailedTransitionTest.java,testSnapshotBlobFailureNoDoubleSnapshot,11,1,1,158,57,921.5966222380292,4.879354448090472
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/FailedTransitionTest.java,testSnapshotBlobFailure,11,1,1,234,57,1364.8962633145497,4.775321617894324
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/FailedTransitionTest.java,testDeltaBlobFailure,11,1,1,174,56,1010.4797564380232,4.858008064574576
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/FailedTransitionTest.java,testDeltaBlobFailureNoDoubleSnapshot,11,1,1,180,58,1054.436579122963,4.870055235518157
hollow,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowAPIGeneratorTest.java,testGenerateWithPostfix,2,1,0,33,25,153.24725426256592,4.427287210976626
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/index/HashIndexTest.java,testTypeBWithSelect,1,1,0,131,54,753.8902627834144,4.884036138117912
