Project,TestCase,FilePath,NoBugFixes,NoCommitFixes,NoClones
hollow,testCycleStartEndWithSingleEnforcer,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,0,0,1
hollow,publishUsingThreadConfig,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,0,0,1
hollow,publishAndLoadASnapshot,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerIncrementalTest.java,0,0,1
hollow,publishAndLoadASnapshotDirectly,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,0,0,1
hollow,addAndDeleteCollections,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,0,0,1
hollow,addIfAbsentWillInitializeNewRecordsButNotOverwriteExistingRecords,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,0,0,1
hollow,addIfAbsentWillInitializeNewRecordsButNotOverwriteExistingRecords,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerIncrementalTest.java,0,0,1
hollow,publishDirectlyAndRestore,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,0,0,1
hollow,publishDirectlyAndRestore,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerIncrementalTest.java,0,0,1
hollow,canRemoveAndModifyNewTypesFromRestoredState,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,0,0,1
hollow,continuesARestoredState,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerIncrementalTest.java,0,0,1
hollow,discardCollections,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,0,0,1
hollow,discardCollectionsInParallel,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,0,0,1
hollow,removeOrphanObjectsWithTypeInSnapshot,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerIncrementalTest.java,0,0,1
hollow,populate,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,0,0,1
hollow,initializeData,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerIncrementalTest.java,0,0,1
hollow,assertTypeA,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,0,0,1
hollow,assertTypeB,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerIncrementalTest.java,0,0,1
hollow,assertTypeA,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerIncrementalTest.java,0,0,1
hollow,assertTypeB,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,0,0,1
hollow,getAllHollowObjects,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,0,0,1
hollow,getAllHollowObjects,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerIncrementalTest.java,0,0,1
hollow,testFireValidationStartDontStopWhenOneFails2,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,0,0,1
hollow,testValidate_onlyAdditions,hollow/src/test/java/com/netflix/hollow/api/producer/validation/ObjectModificationValidatorTest.java,0,0,1
hollow,testValidate_onlyRemovals,hollow/src/test/java/com/netflix/hollow/api/producer/validation/ObjectModificationValidatorTest.java,0,0,1
hollow,producerValidatesWithFailure,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowProducerConsumerTests.java,0,0,1
hollow,testTransitionsPlannedWithSnapshotUpdatePlan,hollow/src/test/java/com/netflix/hollow/api/consumer/metrics/AbstractRefreshMetricsListenerTest.java,0,0,1
hollow,testTransitionsPlannedWithDeltaUpdatePlan,hollow/src/test/java/com/netflix/hollow/api/consumer/metrics/AbstractRefreshMetricsListenerTest.java,0,0,1
hollow,testTransitionsPlannedWithReverseDeltaUpdatePlan,hollow/src/test/java/com/netflix/hollow/api/consumer/metrics/AbstractRefreshMetricsListenerTest.java,0,0,1
hollow,testRefreshSuccess,hollow/src/test/java/com/netflix/hollow/api/consumer/metrics/AbstractRefreshMetricsListenerTest.java,0,0,1
hollow,testRefreshFailure,hollow/src/test/java/com/netflix/hollow/api/consumer/metrics/AbstractRefreshMetricsListenerTest.java,0,0,1
hollow,testMetricsWhenMultiTransitionRefreshSucceeds,hollow/src/test/java/com/netflix/hollow/api/consumer/metrics/AbstractRefreshMetricsListenerTest.java,0,0,1
hollow,testMetricsWhenMultiTransitionRefreshFails,hollow/src/test/java/com/netflix/hollow/api/consumer/metrics/AbstractRefreshMetricsListenerTest.java,0,0,1
hollow,deltaUpdates,hollow/src/test/java/com/netflix/hollow/api/consumer/AbstractHollowHashIndexTests.java,0,0,1
